Ward,Service Request Type,n
Willowdale (18),Residential Bin Body or Handle Damaged,291
Willowdale (18),Residential Bin Lid Damaged,763
Willowdale (18),Residential Furniture / Not Picked Up,244
Willowdale (18),Road Pothole / Road Damage,370
Willowdale (18),Sidewalk Snow Clearing Required,137
Willowdale (18),Tree Emergency Clean-Up,315
York Centre (06),General Pruning,379
York Centre (06),Res / Garbage / Not Picked Up,266
York Centre (06),Res / Organic Green Bin / Not Picked Up,192
York Centre (06),Res / Recycle / Not Picked Up,266
York Centre (06),Residential Bin Body or Handle Damaged,406
York Centre (06),Residential Bin Lid Damaged,916
York Centre (06),Residential Furniture / Not Picked Up,221
York Centre (06),Road Pothole / Road Damage,491
York Centre (06),Sidewalk Snow Clearing Required,152
York Centre (06),Tree Emergency Clean-Up,163
York South-Weston (05),General Pruning,549
York South-Weston (05),Res / Garbage / Not Picked Up,218
York South-Weston (05),Res / Organic Green Bin / Not Picked Up,140
York South-Weston (05),Res / Recycle / Not Picked Up,258
York South-Weston (05),Residential Bin Body or Handle Damaged,585
York South-Weston (05),Residential Bin Lid Damaged,1293
York South-Weston (05),Residential Furniture / Not Picked Up,283
York South-Weston (05),Road Pothole / Road Damage,407
York South-Weston (05),Sidewalk Snow Clearing Required,511
York South-Weston (05),Tree Emergency Clean-Up,233
